"Művelettípus","ItemID","Paraméter megnevezése","Elvárt műveletek száma","Névleges érték","Minimum","Maximum","Mértékegység","Konverzió"," "
"CalibrationTest","8","CAL_CUV_FetStatus","2","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","61","CAL_CUV_FetStatusSafety","10","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","33","CAL_CUV_PackCurrent","2","(nincs beállítva)","2.95","3.05","A","(nincs beállítva)",""
"CalibrationTest","35","CAL_CUV_PackCurrentSafety","10","(nincs beállítva)","(nincs beállítva)","0.05","A","(nincs beállítva)",""
"CalibrationTest","34","CAL_CUV_PackVoltageAfter","1","(nincs beállítva)","30.5","32.5","V","(nincs beállítva)",""
"CalibrationTest","32","CAL_CUV_PackVoltageBefore","1","(nincs beállítva)","35","37","V","(nincs beállítva)",""
"CalibrationTest","36","CAL_CUV_PackVoltageSafety","10","(nincs beállítva)","(nincs beállítva)","0.05","V","(nincs beállítva)",""
"CalibrationTest","9","CAL_DataMemory","1","0","(nincs beállítva)","(nincs beállítva)","bit[]","(nincs beállítva)",""
"CalibrationTest","29","CAL_DSG_FetTemp","1","(nincs beállítva)","0","10","C","(nincs beállítva)",""
"CalibrationTest","28","CAL_DSG_PackCurrent","1","(nincs beállítva)","26.95","27.05","A","(nincs beállítva)",""
"CalibrationTest","27","CAL_DSG_PackVoltage","1","(nincs beállítva)","40","42.05","V","(nincs beállítva)",""
"CalibrationTest","30","CAL_DSG_ShuntTemp","1","(nincs beállítva)","0","10","C","(nincs beállítva)",""
"CalibrationTest","68","CAL_OCD_FetStatus","2","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","70","CAL_OCD_PackCurrent","2","(nincs beállítva)","(nincs beállítva)","0.05","A","(nincs beállítva)",""
"CalibrationTest","69","CAL_OCD_PackVoltageProtection","1","(nincs beállítva)","(nincs beállítva)","0.05","V","(nincs beállítva)",""
"CalibrationTest","25","CAL_OCD_PackVoltageRecovery","1","(nincs beállítva)","35.95","36.05","V","(nincs beállítva)",""
"CalibrationTest","56","CAL_OTC_PackStatusAfter","1","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","55","CAL_OTC_PackStatusBefore","1","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","57","CAL_OTC_PackStatusSafety","1","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","63","CAL_OTD_FetStatus","2","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","62","CAL_OTD_FetStatusSafety","2","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","38","CAL_OTD_PackCurrent","2","(nincs beállítva)","2.95","3.05","A","(nincs beállítva)",""
"CalibrationTest","40","CAL_OTD_PackCurrentSafety","2","(nincs beállítva)","(nincs beállítva)","0.05","A","(nincs beállítva)",""
"CalibrationTest","39","CAL_OTD_PackVoltageAfter","1","(nincs beállítva)","35","37","V","(nincs beállítva)",""
"CalibrationTest","37","CAL_OTD_PackVoltageBefore","1","(nincs beállítva)","35","37","V","(nincs beállítva)",""
"CalibrationTest","41","CAL_OTD_PackVoltageSafety","2","(nincs beállítva)","(nincs beállítva)","0.05","V","(nincs beállítva)",""
"CalibrationTest","66","CAL_OTF_FetStatus","2","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","67","CAL_OTF_FetStatusSafety","2","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","48","CAL_OTF_PackCurrent","1","(nincs beállítva)","2.95","3.05","A","(nincs beállítva)",""
"CalibrationTest","50","CAL_OTF_PackCurrentSafety","1","(nincs beállítva)","(nincs beállítva)","0.05","A","(nincs beállítva)",""
"CalibrationTest","49","CAL_OTF_PackVoltageAfter","1","(nincs beállítva)","35","37","V","(nincs beállítva)",""
"CalibrationTest","47","CAL_OTF_PackVoltageBefore","1","(nincs beállítva)","35","37","V","(nincs beállítva)",""
"CalibrationTest","51","CAL_OTF_PackVoltageSafety","1","(nincs beállítva)","(nincs beállítva)","0.05","V","(nincs beállítva)",""
"CalibrationTest","73","CAL_OTP_Status","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)",""
"CalibrationTest","26","CAL_SCD_PackVoltage","1","(nincs beállítva)","35.95","36.05","V","(nincs beállítva)",""
"CalibrationTest","74","CAL_UPDMD_Status","2","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)",""
"CalibrationTest","59","CAL_UTC_PackStatusAfter","1","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","58","CAL_UTC_PackStatusBefore","1","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","60","CAL_UTC_PackStatusSafety","1","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","65","CAL_UTD_FetStatus","2","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","64","CAL_UTD_FetStatusSafety","2","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","43","CAL_UTD_PackCurrent","1","(nincs beállítva)","2.95","3.05","A","(nincs beállítva)",""
"CalibrationTest","45","CAL_UTD_PackCurrentSafety","1","(nincs beállítva)","(nincs beállítva)","0.05","A","(nincs beállítva)",""
"CalibrationTest","44","CAL_UTD_PackVoltageAfter","1","(nincs beállítva)","34","37","V","(nincs beállítva)",""
"CalibrationTest","42","CAL_UTD_PackVoltageBefore","1","(nincs beállítva)","34","37","V","(nincs beállítva)",""
"CalibrationTest","46","CAL_UTD_PackVoltageSafety","1","(nincs beállítva)","(nincs beállítva)","0.05","V","(nincs beállítva)",""
"CalibrationTest","99","ErrorCode","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)",""
"EndOfLineTest","10","EOL_BIM_Impedance_1kHz","1","(nincs beállítva)","0.01","100","mOhm","(nincs beállítva)",""
"EndOfLineTest","9","EOL_BIM_Voltage","1","(nincs beállítva)","34.2","37.8","V","(nincs beállítva)",""
"EndOfLineTest","45","EOL_CHG_AbsCC2CurrentDev","1","(nincs beállítva)","(nincs beállítva)","0.05","A","(nincs beállítva)",""
"EndOfLineTest","46","EOL_CHG_AccChargeAfter","1","(nincs beállítva)","0","0","value","(nincs beállítva)",""
"EndOfLineTest","47","EOL_CHG_AccChargeBefore","1","(nincs beállítva)","-60","-30","value","(nincs beállítva)",""
"EndOfLineTest","49","EOL_CHG_InitState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","48","EOL_CHG_OnState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","50","EOL_CHG_TimeOn","1","(nincs beállítva)","(nincs beállítva)","65","s","(nincs beállítva)",""
"EndOfLineTest","43","EOL_DSG_CC2Current","1","(nincs beállítva)","-17.5","-15.5","A","(nincs beállítva)",""
"EndOfLineTest","42","EOL_DSG_DCHGTemp","1","(nincs beállítva)","1","5","C","(nincs beállítva)",""
"EndOfLineTest","41","EOL_DSG_DDSGTemp","1","(nincs beállítva)","1","5","C","(nincs beállítva)",""
"EndOfLineTest","39","EOL_DSG_InitState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","40","EOL_DSG_OnState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","44","EOL_DSG_TimeOn","1","(nincs beállítva)","10000","(nincs beállítva)","ms","(nincs beállítva)",""
"EndOfLineTest","51","EOL_EFD_FDStatus","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","61","EOL_EndTime","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","date","(nincs beállítva)",""
"EndOfLineTest","88","EOL_LBL_HasPrinted","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","value","(nincs beállítva)",""
"EndOfLineTest","54","EOL_OCC_EndState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","52","EOL_OCC_InitState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","53","EOL_OCC_OnState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","56","EOL_OCC_TimeOff","1","(nincs beállítva)","0","10000","ms","(nincs beállítva)",""
"EndOfLineTest","55","EOL_OCC_TimeOn","1","(nincs beállítva)","0","2000","ms","(nincs beállítva)",""
"EndOfLineTest","29","EOL_OCD_EndState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","30","EOL_OCD_InitState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","31","EOL_OCD_OnState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","32","EOL_OCD_TimeOff","1","(nincs beállítva)","0","10000","ms","(nincs beállítva)",""
"EndOfLineTest","33","EOL_OCD_TimeOn","1","(nincs beállítva)","0","2000","ms","(nincs beállítva)",""
"EndOfLineTest","34","EOL_SCD_EndState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","35","EOL_SCD_InitState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","36","EOL_SCD_OnState","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","37","EOL_SCD_TimeOff","1","(nincs beállítva)","0","10000","ms","(nincs beállítva)",""
"EndOfLineTest","38","EOL_SCD_TimeOn","1","(nincs beállítva)","0","2000","ms","(nincs beállítva)",""
"EndOfLineTest","58","EOL_SHT_State","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","60","EOL_StartTime","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","date","(nincs beállítva)",""
"EndOfLineTest","57","EOL_UMD_State","2","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","text","(nincs beállítva)",""
"EndOfLineTest","12","EOL_VDM_ByteDiffs","1","(nincs beállítva)","0","0","byte","(nincs beállítva)",""
"EndOfLineTest","11","EOL_VDM_DMLength","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","byte","(nincs beállítva)",""
"EndOfLineTest","59","EOL_VDM_R","1","(nincs beállítva)","2.475","2.525","mOhm","(nincs beállítva)",""
"EndOfLineTest","15","EOL_VDR_CC2Current","1","(nincs beállítva)","-0.01","0.01","A","(nincs beállítva)",""
"EndOfLineTest","17","EOL_VDR_CellVoltageDev","10","(nincs beállítva)","-0.02","0.02","V","(nincs beállítva)",""
"EndOfLineTest","21","EOL_VDR_CHG_FET_Status","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","20","EOL_VDR_DSG_FET_Status","1","1","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"EndOfLineTest","14","EOL_VDR_IntTemp","1","(nincs beállítva)","10","40","C","(nincs beállítva)",""
"EndOfLineTest","19","EOL_VDR_LDPinVoltageDev","1","(nincs beállítva)","-0.05","0.05","V","(nincs beállítva)",""
"EndOfLineTest","18","EOL_VDR_PackPinVoltageDev","1","(nincs beállítva)","-0.05","0.05","V","(nincs beállítva)",""
"EndOfLineTest","25","EOL_VDR_PFA","1","0","(nincs beállítva)","(nincs beállítva)","value","(nincs beállítva)",""
"EndOfLineTest","26","EOL_VDR_PFB","1","0","(nincs beállítva)","(nincs beállítva)","value","(nincs beállítva)",""
"EndOfLineTest","27","EOL_VDR_PFC","1","0","(nincs beállítva)","(nincs beállítva)","value","(nincs beállítva)",""
"EndOfLineTest","28","EOL_VDR_PFD","1","0","(nincs beállítva)","(nincs beállítva)","value","(nincs beállítva)",""
"EndOfLineTest","22","EOL_VDR_SSA","1","0","(nincs beállítva)","(nincs beállítva)","value","(nincs beállítva)",""
"EndOfLineTest","23","EOL_VDR_SSB","1","0","(nincs beállítva)","(nincs beállítva)","value","(nincs beállítva)",""
"EndOfLineTest","24","EOL_VDR_SSC","1","0","(nincs beállítva)","(nincs beállítva)","value","(nincs beállítva)",""
"EndOfLineTest","16","EOL_VDR_StackVoltage","1","(nincs beállítva)","34.2","37.8","V","(nincs beállítva)",""
"EndOfLineTest","13","EOL_VDR_TempDeviation","1","(nincs beállítva)","0","5","C","(nincs beállítva)",""
"EndOfLineTest","62","EOL_VDR_TempDevWoInt","1","(nincs beállítva)","0","1.5","C","(nincs beállítva)",""
"EndOfLineTest","8","EOL_VMD_AccCh","1","(nincs beállítva)","0","0","mAh","(nincs beállítva)",""
"EndOfLineTest","7","EOL_VMD_AccTime","1","(nincs beállítva)","0","1","s","(nincs beállítva)",""
"EndOfLineTest","1","EOL_VMD_Customer","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","text","(nincs beállítva)",""
"EndOfLineTest","5","EOL_VMD_ItemCode","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","text","(nincs beállítva)",""
"EndOfLineTest","4","EOL_VMD_Layout","1","1","(nincs beállítva)","(nincs beállítva)","value","(nincs beállítva)",""
"EndOfLineTest","6","EOL_VMD_Serial","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","text","(nincs beállítva)",""
"EndOfLineTest","3","EOL_VMD_State","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","text","(nincs beállítva)",""
"EndOfLineTest","2","EOL_VMD_Type","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","text","(nincs beállítva)",""
"EndOfLineTest","99","ErrorCode","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)",""
